location,data_source,type,case,week_of_year,new_cases
BO,situationreport,new,confirmed,2014-W01,NA
BO,patientdatabase,new,confirmed,2014-W01,NA
BOMBALI,situationreport,new,confirmed,2014-W01,NA
BOMBALI,patientdatabase,new,confirmed,2014-W01,NA
BONTHE,situationreport,new,confirmed,2014-W01,NA
BONTHE,patientdatabase,new,confirmed,2014-W01,NA
KAILAHUN,situationreport,new,confirmed,2014-W01,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W01,NA
KAMBIA,situationreport,new,confirmed,2014-W01,NA
KAMBIA,patientdatabase,new,confirmed,2014-W01,NA
KENEMA,situationreport,new,confirmed,2014-W01,NA
KENEMA,patientdatabase,new,confirmed,2014-W01,NA
KOINADUGU,situationreport,new,confirmed,2014-W01,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W01,NA
KONO,situationreport,new,confirmed,2014-W01,NA
KONO,patientdatabase,new,confirmed,2014-W01,NA
MOYAMBA,situationreport,new,confirmed,2014-W01,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W01,NA
PORT LOKO,situationreport,new,confirmed,2014-W01,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W01,NA
PUJEHUN,situationreport,new,confirmed,2014-W01,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W01,NA
TONKOLILI,situationreport,new,confirmed,2014-W01,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W01,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W01,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W01,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W01,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W01,NA
BO,situationreport,new,confirmed,2014-W02,NA
BO,patientdatabase,new,confirmed,2014-W02,NA
BOMBALI,situationreport,new,confirmed,2014-W02,NA
BOMBALI,patientdatabase,new,confirmed,2014-W02,NA
BONTHE,situationreport,new,confirmed,2014-W02,NA
BONTHE,patientdatabase,new,confirmed,2014-W02,NA
KAILAHUN,situationreport,new,confirmed,2014-W02,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W02,NA
KAMBIA,situationreport,new,confirmed,2014-W02,NA
KAMBIA,patientdatabase,new,confirmed,2014-W02,NA
KENEMA,situationreport,new,confirmed,2014-W02,NA
KENEMA,patientdatabase,new,confirmed,2014-W02,NA
KOINADUGU,situationreport,new,confirmed,2014-W02,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W02,NA
KONO,situationreport,new,confirmed,2014-W02,NA
KONO,patientdatabase,new,confirmed,2014-W02,NA
MOYAMBA,situationreport,new,confirmed,2014-W02,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W02,NA
PORT LOKO,situationreport,new,confirmed,2014-W02,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W02,NA
PUJEHUN,situationreport,new,confirmed,2014-W02,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W02,NA
TONKOLILI,situationreport,new,confirmed,2014-W02,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W02,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W02,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W02,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W02,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W02,NA
BO,situationreport,new,confirmed,2014-W03,NA
BO,patientdatabase,new,confirmed,2014-W03,NA
BOMBALI,situationreport,new,confirmed,2014-W03,NA
BOMBALI,patientdatabase,new,confirmed,2014-W03,NA
BONTHE,situationreport,new,confirmed,2014-W03,NA
BONTHE,patientdatabase,new,confirmed,2014-W03,NA
KAILAHUN,situationreport,new,confirmed,2014-W03,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W03,NA
KAMBIA,situationreport,new,confirmed,2014-W03,NA
KAMBIA,patientdatabase,new,confirmed,2014-W03,NA
KENEMA,situationreport,new,confirmed,2014-W03,NA
KENEMA,patientdatabase,new,confirmed,2014-W03,NA
KOINADUGU,situationreport,new,confirmed,2014-W03,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W03,NA
KONO,situationreport,new,confirmed,2014-W03,NA
KONO,patientdatabase,new,confirmed,2014-W03,NA
MOYAMBA,situationreport,new,confirmed,2014-W03,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W03,NA
PORT LOKO,situationreport,new,confirmed,2014-W03,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W03,NA
PUJEHUN,situationreport,new,confirmed,2014-W03,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W03,NA
TONKOLILI,situationreport,new,confirmed,2014-W03,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W03,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W03,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W03,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W03,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W03,NA
BO,situationreport,new,confirmed,2014-W04,NA
BO,patientdatabase,new,confirmed,2014-W04,NA
BOMBALI,situationreport,new,confirmed,2014-W04,NA
BOMBALI,patientdatabase,new,confirmed,2014-W04,NA
BONTHE,situationreport,new,confirmed,2014-W04,NA
BONTHE,patientdatabase,new,confirmed,2014-W04,NA
KAILAHUN,situationreport,new,confirmed,2014-W04,NA
