location,data_source,type,case,week_of_year,new_cases
BO,situationreport,new,confirmed,2014-W01,NA
BO,situationreport,new,probable,2014-W01,NA
BO,patientdatabase,new,confirmed,2014-W01,NA
BO,patientdatabase,new,probable,2014-W01,NA
BOMBALI,situationreport,new,confirmed,2014-W01,NA
BOMBALI,situationreport,new,probable,2014-W01,NA
BOMBALI,patientdatabase,new,confirmed,2014-W01,NA
BOMBALI,patientdatabase,new,probable,2014-W01,NA
BONTHE,situationreport,new,confirmed,2014-W01,NA
BONTHE,situationreport,new,probable,2014-W01,NA
BONTHE,patientdatabase,new,confirmed,2014-W01,NA
BONTHE,patientdatabase,new,probable,2014-W01,NA
KAILAHUN,situationreport,new,confirmed,2014-W01,NA
KAILAHUN,situationreport,new,probable,2014-W01,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W01,NA
KAILAHUN,patientdatabase,new,probable,2014-W01,NA
KAMBIA,situationreport,new,confirmed,2014-W01,NA
KAMBIA,situationreport,new,probable,2014-W01,NA
KAMBIA,patientdatabase,new,confirmed,2014-W01,NA
KAMBIA,patientdatabase,new,probable,2014-W01,NA
KENEMA,situationreport,new,confirmed,2014-W01,NA
KENEMA,situationreport,new,probable,2014-W01,NA
KENEMA,patientdatabase,new,confirmed,2014-W01,NA
KENEMA,patientdatabase,new,probable,2014-W01,NA
KOINADUGU,situationreport,new,confirmed,2014-W01,NA
KOINADUGU,situationreport,new,probable,2014-W01,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W01,NA
KOINADUGU,patientdatabase,new,probable,2014-W01,NA
KONO,situationreport,new,confirmed,2014-W01,NA
KONO,situationreport,new,probable,2014-W01,NA
KONO,patientdatabase,new,confirmed,2014-W01,NA
KONO,patientdatabase,new,probable,2014-W01,NA
MOYAMBA,situationreport,new,confirmed,2014-W01,NA
MOYAMBA,situationreport,new,probable,2014-W01,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W01,NA
MOYAMBA,patientdatabase,new,probable,2014-W01,NA
