Date,BO,BOMBALI,BONTHE,KAILAHUN,KAMBIA,KENEMA,KOINADUGU,KONO,MOYAMBA,PORTLOKO,PUJEHUN,TONKOLILI,WESTERN
2014-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-20,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-26,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-04,0,0,0,0,0,0,0,0,0,0,1,0,1
2014-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-06,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-09,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-04-10,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-12,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-22,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-30,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-06,0,0,0,0,0,0,0,0,1,0,0,0,1
2014-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-08,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-10,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-05-11,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-13,0,0,0,0,0,1,0,0,0,0,0,0,1
2014-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-15,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-17,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-20,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-21,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-05-22,0,0,0,2,0,0,0,0,0,0,0,0,0
2014-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-24,0,0,0,3,0,0,0,0,0,0,0,0,0
2014-05-25,0,0,0,4,0,0,0,0,0,0,0,0,0
2014-05-26,0,0,0,6,0,0,0,0,0,0,0,0,1
2014-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-28,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-29,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-05-30,0,0,0,5,0,0,0,1,0,0,0,0,0
2014-05-31,0,0,0,5,0,0,0,0,0,0,0,0,0
2014-06-01,0,0,0,6,0,1,0,0,0,1,0,0,1
2014-06-02,0,0,0,11,0,1,0,0,0,0,0,0,0
2014-06-03,0,0,0,4,0,0,0,0,0,1,0,0,0
2014-06-04,0,0,0,8,0,0,0,0,0,0,0,0,0
2014-06-05,0,0,0,3,0,1,0,0,0,0,0,0,2
2014-06-06,0,1,0,4,0,0,0,0,0,1,0,0,0
2014-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-08,0,0,0,5,0,1,0,0,0,0,0,0,0
2014-06-09,0,0,0,4,0,0,0,0,0,0,0,0,0
2014-06-10,0,0,0,11,0,1,0,0,0,0,0,0,1
2014-06-11,0,0,0,10,0,1,0,0,0,0,0,0,0
2014-06-12,0,0,0,13,0,2,0,0,0,0,0,0,0
2014-06-13,0,0,0,7,0,2,0,0,0,0,0,0,0
2014-06-14,0,0,0,27,0,3,0,0,0,0,0,0,1
2014-06-15,0,0,0,1,0,2,0,0,0,0,0,0,0
2014-06-16,0,0,0,3,0,2,0,0,0,1,0,0,0
2014-06-17,0,0,0,19,0,1,0,0,0,0,0,0,0
2014-06-18,0,0,0,7,0,3,0,0,0,0,0,0,0
2014-06-19,0,0,0,4,0,4,0,0,0,0,0,0,1
2014-06-20,1,0,0,11,0,3,0,0,0,0,0,0,1
2014-06-21,0,0,0,2,0,1,0,0,0,0,0,0,2
2014-06-22,0,0,0,2,0,3,0,0,0,0,0,0,0
2014-06-23,0,0,0,5,0,0,0,0,0,0,0,0,1
2014-06-24,0,0,0,4,0,2,0,0,0,0,0,0,0
2014-06-25,0,0,0,10,0,3,0,0,0,0,0,0,0
2014-06-26,0,0,0,7,0,5,0,0,0,0,0,0,0
2014-06-27,0,1,0,6,0,7,0,0,0,0,0,0,0
2014-06-28,0,0,0,11,0,4,0,0,0,0,0,0,0
2014-06-29,0,0,0,5,0,5,0,0,0,0,0,0,0
2014-06-30,0,0,0,12,0,6,0,0,0,0,0,0,0
2014-07-01,0,0,0,18,0,3,0,0,0,0,0,0,2
2014-07-02,1,0,0,7,0,7,0,0,0,1,0,0,1
2014-07-03,0,0,0,4,0,3,0,0,0,0,0,0,0
2014-07-04,2,0,0,7,0,2,0,0,0,0,0,0,0
2014-07-05,1,0,0,10,0,4,0,0,0,0,0,0,0
2014-07-06,0,0,0,9,0,2,0,0,0,1,0,0,1
2014-07-07,1,0,0,11,0,3,0,1,0,0,0,0,3
2014-07-08,1,1,0,11,0,1,0,0,0,0,0,0,3
2014-07-09,0,0,0,8,0,2,0,0,0,0,0,0,0
2014-07-10,1,0,0,9,0,8,0,0,0,0,0,0,2
2014-07-11,0,0,0,13,0,1,0,0,0,0,0,0,0
2014-07-12,0,0,0,8,0,4,0,0,0,0,0,0,1
2014-07-13,0,0,0,4,0,6,0,0,0,0,0,0,1
2014-07-14,1,0,0,7,0,6,0,0,0,0,0,0,0
2014-07-15,1,0,0,12,0,2,0,1,0,0,0,1,0
2014-07-16,0,0,0,7,0,6,0,0,0,1,0,0,0
2014-07-17,2,1,1,5,0,2,0,0,0,0,0,0,2
2014-07-18,1,0,0,8,0,3,0,0,1,0,0,0,1
2014-07-19,0,2,0,4,0,8,0,0,0,0,0,0,0
2014-07-20,2,0,0,7,0,5,0,0,0,1,0,0,2
2014-07-21,2,1,0,8,0,7,0,0,0,0,0,1,2
2014-07-22,0,0,0,8,0,7,0,0,0,2,0,1,0
2014-07-23,1,0,0,4,0,6,0,1,0,0,0,0,0
2014-07-24,1,0,0,3,0,4,0,0,0,1,0,0,0
2014-07-25,1,0,0,4,0,6,0,0,0,4,0,0,1
2014-07-26,1,0,0,6,0,3,0,0,0,1,0,0,1
2014-07-27,1,0,0,8,0,7,0,1,1,0,0,0,1
2014-07-28,1,2,0,4,0,8,0,0,1,2,2,0,0
2014-07-29,0,0,0,14,0,5,0,1,1,1,0,0,3
2014-07-30,3,0,0,8,0,4,0,0,0,1,1,0,0
2014-07-31,1,0,0,8,0,5,0,0,0,2,0,0,3
2014-08-01,1,0,0,11,0,10,0,0,3,4,0,1,1
2014-08-02,2,0,0,14,0,7,0,1,2,4,0,0,3
2014-08-03,2,0,0,16,0,11,0,0,0,5,0,0,2
2014-08-04,2,2,0,11,0,4,1,0,0,4,1,0,5
2014-08-05,2,0,0,2,0,7,0,0,0,4,0,1,7
2014-08-06,1,0,0,3,0,6,0,0,0,7,0,0,2
2014-08-07,2,0,0,6,0,10,0,0,0,1,2,0,8
2014-08-08,1,0,0,7,0,11,0,0,0,2,0,0,7
2014-08-09,3,0,0,4,0,8,1,0,2,1,0,0,1
2014-08-10,1,0,0,5,0,7,0,1,0,3,0,0,1
2014-08-11,0,0,0,3,0,2,0,0,0,1,0,0,5
2014-08-12,0,1,0,3,0,4,0,0,0,8,0,0,12
2014-08-13,1,1,0,1,0,39,0,1,0,4,0,1,3
2014-08-14,4,0,0,5,0,6,0,0,2,5,0,0,8
2014-08-15,3,1,0,1,0,7,0,0,1,3,1,0,18
2014-08-16,1,2,0,5,0,6,0,0,0,5,0,1,5
2014-08-17,0,4,0,0,0,6,0,0,1,2,1,3,5
2014-08-18,1,3,0,2,0,7,0,0,0,3,1,0,9
2014-08-19,1,3,0,2,0,4,1,0,1,7,2,0,9
2014-08-20,3,0,0,6,0,11,0,0,0,6,3,1,13
2014-08-21,1,1,0,4,0,7,0,1,0,6,0,1,2
2014-08-22,1,5,0,4,0,8,0,0,0,2,0,1,3
2014-08-23,0,1,0,4,0,4,1,0,0,4,0,0,6
2014-08-24,0,6,0,3,0,6,0,1,0,6,0,0,8
2014-08-25,7,2,0,9,0,5,0,0,0,3,0,2,13
2014-08-26,10,0,0,5,0,6,0,2,0,5,1,0,10
2014-08-27,4,5,0,3,0,9,0,0,0,5,0,2,10
2014-08-28,11,3,0,2,0,6,0,1,0,9,0,1,2
2014-08-29,3,4,1,3,0,1,0,2,1,5,1,0,2
2014-08-30,0,2,0,1,0,5,0,1,0,8,1,0,6
2014-08-31,3,3,0,5,0,5,0,0,0,7,0,1,6
2014-09-01,1,6,0,5,1,2,0,2,4,9,0,3,11
2014-09-02,0,4,0,3,0,8,1,2,2,9,0,1,10
2014-09-03,2,4,0,5,0,5,0,5,3,16,0,5,9
2014-09-04,0,6,0,5,2,4,1,4,0,11,0,2,21
2014-09-05,1,2,0,0,0,3,0,1,0,8,0,2,25
2014-09-06,1,3,0,2,2,1,0,0,0,12,0,3,13
2014-09-07,4,6,0,2,2,5,0,2,0,5,0,2,16
2014-09-08,3,9,0,0,0,2,0,1,1,6,1,0,13
2014-09-09,1,7,0,1,0,2,0,2,3,10,0,2,13
2014-09-10,1,8,0,4,0,4,0,1,1,9,0,3,18
2014-09-11,0,2,0,1,0,8,0,0,0,4,0,2,15
2014-09-12,7,6,0,1,1,3,0,1,2,7,0,3,12
2014-09-13,0,12,0,1,0,0,1,1,10,3,0,9,18
2014-09-14,0,20,0,2,2,3,1,1,6,7,0,2,23
2014-09-15,0,11,0,1,0,1,1,0,12,10,1,7,24
2014-09-16,2,13,0,3,3,3,1,1,6,18,0,10,33
2014-09-17,0,14,0,8,4,4,0,0,7,15,3,5,25
2014-09-18,5,14,0,0,2,5,0,2,4,28,2,1,34
2014-09-19,3,10,0,2,4,3,0,2,5,17,0,7,40
2014-09-20,2,24,0,4,2,7,0,2,2,23,1,5,32
2014-09-21,2,10,0,1,1,1,0,0,3,17,1,1,26
2014-09-22,3,2,0,4,0,1,0,0,1,13,3,6,14
2014-09-23,2,4,0,1,2,1,0,1,1,14,4,6,12
2014-09-24,2,15,0,2,1,4,0,1,2,11,1,4,22
2014-09-25,5,4,0,2,0,2,0,3,2,12,1,8,20
2014-09-26,0,22,0,2,2,2,0,0,2,12,1,6,11
2014-09-27,1,12,0,6,0,3,0,3,1,11,1,5,5
2014-09-28,4,20,0,1,0,1,0,2,1,8,1,0,23
2014-09-29,3,8,0,2,1,1,0,3,4,9,1,7,19
2014-09-30,7,11,0,1,1,3,0,3,1,12,2,3,42
2014-10-01,1,5,0,1,1,2,3,11,1,11,4,2,29
2014-10-02,3,6,0,1,0,5,1,3,1,16,2,15,40
2014-10-03,4,9,0,0,0,3,1,5,0,17,0,3,45
2014-10-04,0,14,0,0,1,4,0,3,1,20,4,10,38
2014-10-05,4,7,0,2,3,0,3,3,1,15,2,5,45
2014-10-06,2,15,0,2,0,2,0,4,1,12,0,8,42
2014-10-07,1,14,0,2,0,3,0,2,3,17,0,3,37
2014-10-08,5,11,0,3,1,2,3,2,2,17,0,4,20
2014-10-09,6,8,0,1,1,3,5,1,1,14,1,5,32
2014-10-10,8,12,1,2,0,8,1,5,4,30,0,13,67
2014-10-11,2,8,0,2,0,5,4,0,3,20,0,8,32
2014-10-12,2,8,0,4,1,8,2,1,4,14,2,2,27
2014-10-13,3,2,0,2,0,1,0,2,1,16,1,1,32
2014-10-14,1,6,0,10,0,3,8,1,0,14,2,2,30
2014-10-15,1,9,0,9,0,0,7,3,0,23,0,4,45
2014-10-16,1,7,0,5,0,5,1,1,0,12,2,6,53
2014-10-17,5,4,0,6,0,2,4,2,1,22,0,11,42
2014-10-18,1,14,0,3,1,3,2,2,0,21,0,6,38
2014-10-19,2,15,0,3,0,1,5,2,1,26,1,11,49
2014-10-20,4,25,0,1,2,2,3,2,2,34,0,10,57
2014-10-21,0,6,0,1,0,0,0,0,3,23,0,5,51
2014-10-22,5,7,0,4,0,1,4,5,2,26,1,3,42
2014-10-23,2,3,0,7,2,3,0,2,0,26,2,2,51
2014-10-24,2,10,0,2,1,2,2,0,0,41,2,2,58
2014-10-25,5,8,0,4,3,4,4,2,0,32,0,6,80
2014-10-26,1,17,0,4,2,4,5,0,0,25,0,7,66
2014-10-27,6,13,0,5,0,0,5,0,3,17,0,6,57
2014-10-28,4,13,0,3,2,2,1,1,0,32,1,1,56
2014-10-29,1,9,0,7,1,0,6,4,2,23,0,2,65
2014-10-30,1,13,0,3,3,3,1,8,5,28,0,4,60
2014-10-31,2,5,0,2,1,2,4,0,3,29,0,5,32
2014-11-01,1,6,0,3,4,0,13,2,7,28,0,14,47
2014-11-02,2,5,0,5,1,1,4,3,14,25,0,8,65
2014-11-03,2,11,0,1,1,2,4,1,5,20,1,6,63
2014-11-04,1,2,0,2,0,4,7,2,4,29,1,10,62
2014-11-05,6,8,0,5,1,3,3,0,4,16,0,11,51
2014-11-06,5,18,0,2,0,5,2,1,1,19,0,5,60
2014-11-07,3,9,0,1,1,3,3,2,2,15,1,5,73
2014-11-08,5,8,0,1,0,2,0,3,2,39,0,0,54
2014-11-09,6,2,0,1,3,2,5,2,3,12,3,11,42
2014-11-10,5,11,0,3,2,0,2,17,2,24,1,6,82
2014-11-11,1,3,0,1,5,2,0,12,1,16,0,17,59
2014-11-12,7,7,0,3,3,0,3,7,3,24,0,5,39
2014-11-13,1,10,0,1,1,0,2,5,1,19,0,13,49
2014-11-14,0,17,0,1,4,3,2,6,0,21,0,6,66
2014-11-15,4,11,0,2,2,3,0,11,2,22,0,5,57
2014-11-16,2,7,0,1,0,2,1,10,1,14,1,4,50
2014-11-17,6,5,0,0,2,0,0,5,2,20,1,2,40
2014-11-18,6,5,0,1,5,0,0,1,0,20,2,6,76
2014-11-19,3,13,0,0,5,0,1,4,0,26,0,6,56
2014-11-20,5,16,0,2,2,1,1,5,1,22,3,7,57
2014-11-21,1,8,0,0,2,2,0,2,0,17,0,4,52
2014-11-22,1,6,0,2,2,1,2,5,0,26,0,4,62
2014-11-23,3,18,0,2,1,2,1,3,1,19,0,8,72
2014-11-24,3,9,0,1,1,0,0,11,0,22,2,3,61
2014-11-25,2,4,0,4,1,2,1,7,2,21,2,3,66
2014-11-26,3,11,0,2,3,1,1,7,0,19,2,4,58
2014-11-27,1,6,0,0,2,0,1,17,4,10,1,2,75
2014-11-28,0,5,0,1,1,2,0,3,0,9,0,6,46
2014-11-29,0,6,0,0,1,5,0,6,1,15,0,3,39
2014-11-30,6,6,0,1,5,1,0,5,0,20,0,6,51
2014-12-01,4,6,0,1,0,3,2,8,4,17,1,2,52
2014-12-02,5,0,0,1,2,0,0,8,4,9,0,2,75
2014-12-03,7,3,0,3,1,1,0,8,0,7,1,2,52
2014-12-04,8,1,0,6,1,1,0,8,2,18,1,4,34
2014-12-05,5,2,0,1,3,0,2,9,1,12,2,3,54
2014-12-06,7,2,0,3,2,0,2,3,0,17,2,3,58
2014-12-07,3,5,0,3,3,4,1,6,0,18,4,3,39
2014-12-08,3,1,0,1,1,0,0,10,0,20,0,7,46
2014-12-09,8,1,0,1,1,2,0,16,0,23,3,2,74
2014-12-10,2,8,0,2,2,3,0,12,0,36,3,5,74
2014-12-11,1,2,0,0,2,0,0,11,1,11,1,2,38
2014-12-12,6,1,0,2,3,2,0,7,0,23,8,11,77
2014-12-13,2,3,0,1,0,1,1,7,2,7,1,6,53
2014-12-14,2,2,0,0,0,1,0,9,3,15,4,3,56
2014-12-15,3,1,0,0,7,2,0,4,0,27,4,6,50
2014-12-16,1,3,0,0,2,0,2,3,1,27,0,4,63
2014-12-17,1,3,0,0,1,2,0,8,0,19,5,6,46
2014-12-18,3,4,0,1,2,1,2,6,0,18,3,5,66
2014-12-19,2,3,0,0,0,1,0,11,0,10,7,8,70
2014-12-20,2,3,0,3,5,2,3,15,2,21,5,4,72
2014-12-21,2,1,0,0,4,1,1,13,0,9,5,4,62
2014-12-22,3,0,0,0,1,2,2,21,2,17,0,3,36
2014-12-23,4,3,0,2,4,0,1,17,1,14,2,0,61
2014-12-24,4,5,0,2,0,0,0,23,0,14,1,5,53
2014-12-25,2,3,0,2,3,5,2,12,0,12,1,4,45
2014-12-26,4,0,0,0,3,3,2,22,1,9,2,2,54
2014-12-27,2,2,0,1,1,2,0,6,1,14,2,3,58
2014-12-28,2,0,0,0,0,0,0,22,2,9,8,0,59
2014-12-29,1,2,0,0,1,0,0,16,3,9,5,1,46
2014-12-30,3,2,0,0,3,0,0,10,1,7,1,2,45
2014-12-31,0,5,0,0,1,1,0,10,2,11,1,1,45
2015-01-01,3,1,0,1,2,2,0,8,3,9,3,4,56
2015-01-02,2,1,0,1,5,1,0,10,1,10,2,3,37
2015-01-03,0,1,0,0,5,0,2,3,0,4,3,5,48
2015-01-04,4,0,0,1,5,1,1,15,1,7,4,6,40
2015-01-05,0,1,0,0,11,2,0,6,1,12,6,2,59
2015-01-06,0,2,0,1,4,1,0,7,0,12,4,1,42
2015-01-07,2,0,0,0,9,1,0,7,2,11,5,0,55
2015-01-08,1,4,0,0,1,0,0,7,0,9,3,0,22
2015-01-09,0,2,0,1,1,2,0,5,0,10,7,2,35
2015-01-10,5,3,0,0,4,3,0,12,1,12,4,2,26
2015-01-11,1,1,1,0,2,0,0,6,1,12,3,0,25
2015-01-12,1,0,0,1,1,0,1,4,0,6,6,0,32
2015-01-13,1,1,0,0,1,2,1,6,4,7,2,1,31
2015-01-14,0,1,0,2,0,0,1,13,1,12,6,1,17
2015-01-15,1,2,0,0,5,2,3,8,0,5,4,0,27
2015-01-16,1,1,0,0,3,0,0,3,0,4,6,0,30
2015-01-17,0,0,0,0,2,1,1,9,0,6,7,3,30
2015-01-18,0,2,0,0,1,0,3,4,0,3,5,2,30
2015-01-19,3,1,0,0,0,0,3,9,0,5,4,0,21
2015-01-20,1,1,0,0,4,4,2,8,0,4,4,2,39
2015-01-21,0,1,0,0,6,0,0,6,0,6,5,0,24
2015-01-22,1,1,0,1,2,3,0,3,2,8,4,1,35
2015-01-23,1,1,0,0,3,1,0,4,1,4,7,0,26
2015-01-24,0,3,0,0,0,1,0,4,0,17,2,1,20
2015-01-25,1,0,0,1,2,2,0,2,0,13,3,2,22
2015-01-26,0,0,0,0,2,5,0,7,1,17,3,0,20
2015-01-27,0,0,0,1,2,5,0,3,1,10,4,1,27
2015-01-28,0,0,0,0,2,3,0,2,0,6,10,0,25
2015-01-29,0,1,0,0,2,2,0,5,0,3,5,0,22
2015-01-30,0,0,0,0,1,4,0,4,0,7,7,0,18
2015-01-31,0,1,0,0,3,4,0,2,2,8,4,1,18
2015-02-01,1,0,0,0,9,2,0,4,0,9,4,1,12
2015-02-02,0,0,0,0,2,2,0,9,1,7,4,1,31
2015-02-03,0,0,0,0,4,1,1,6,0,10,6,2,18
2015-02-04,0,2,0,0,2,2,0,9,0,4,9,0,25
2015-02-05,0,0,0,0,1,2,0,4,0,3,6,0,33
2015-02-06,1,0,0,0,3,1,0,6,0,3,4,3,26
2015-02-07,0,0,0,0,7,2,0,4,1,5,5,0,27
2015-02-08,0,1,0,0,2,4,0,2,0,3,3,1,33
2015-02-09,1,0,0,0,1,5,1,2,1,5,2,0,24
2015-02-10,0,1,0,0,6,2,0,3,3,4,6,2,36
2015-02-11,0,0,0,0,2,5,0,1,0,6,6,2,16
2015-02-12,0,0,0,0,3,6,0,3,0,4,4,1,17
2015-02-13,0,1,0,0,6,1,0,4,0,10,11,1,22
2015-02-14,0,2,0,0,0,7,0,1,0,11,5,1,15
2015-02-15,0,0,0,0,3,6,1,11,0,11,5,0,15
2015-02-16,1,1,0,0,1,3,0,9,0,4,4,0,17
