location,data_source,type,case,week_of_year,new_cases
BO,situationreport,new,confirmed,2014-W01,NA
BO,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
BOMBALI,situationreport,new,confirmed,2014-W01,NA
BOMBALI,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
BONTHE,situationreport,new,confirmed,2014-W01,NA
BONTHE,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
KAILAHUN,situationreport,new,confirmed,2014-W01,NA
KAILAHUN,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
KAMBIA,situationreport,new,confirmed,2014-W01,NA
KAMBIA,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
KENEMA,situationreport,new,confirmed,2014-W01,NA
KENEMA,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
KOINADUGU,situationreport,new,confirmed,2014-W01,NA
KOINADUGU,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
KONO,situationreport,new,confirmed,2014-W01,NA
KONO,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
MOYAMBA,situationreport,new,confirmed,2014-W01,NA
MOYAMBA,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
PORT LOKO,situationreport,new,confirmed,2014-W01,NA
PORT LOKO,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
PUJEHUN,situationreport,new,confirmed,2014-W01,NA
PUJEHUN,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
TONKOLILI,situationreport,new,confirmed,2014-W01,NA
TONKOLILI,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W01,NA
WESTERN AREA RURAL,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W01,NA
WESTERN AREA URBAN,patientdatabase,new,confirmedandprobablecasetotal,2014-W01,NA
BO,situationreport,new,confirmed,2014-W02,NA
BO,patientdatabase,new,confirmedandprobablecasetotal,2014-W02,NA
BOMBALI,situationreport,new,confirmed,2014-W02,NA
BOMBALI,patientdatabase,new,confirmedandprobablecasetotal,2014-W02,NA
BONTHE,situationreport,new,confirmed,2014-W02,NA
BONTHE,patientdatabase,new,confirmedandprobablecasetotal,2014-W02,NA
KAILAHUN,situationreport,new,confirmed,2014-W02,NA
KAILAHUN,patientdatabase,new,confirmedandprobablecasetotal,2014-W02,NA
KAMBIA,situationreport,new,confirmed,2014-W02,NA
KAMBIA,patientdatabase,new,confirmedandprobablecasetotal,2014-W02,NA
KENEMA,situationreport,new,confirmed,2014-W02,NA
KENEMA,patientdatabase,new,confirmedandprobablecasetotal,2014-W02,NA
KOINADUGU,situationreport,new,confirmed,2014-W02,NA
